"What extracurriculars do you take part in outside of school?","How many hours of extracurricular do you take part in a week?","What is your opinion of school?","What is your opinion of breaktime?"
"Scouts;Swimming;Other","12","7","9"
"Other","1","6","10"
"None","<1","6","8"
"None","<1","7","10"
"Music Lessons / Instrument;School Clubs;CAPA;Other","4","6","8"
"Martial Arts(Karate, Boxing, etc);Music Lessons / Instrument","4","5","6"
"Swimming;Music Lessons / Instrument;Tutoring;Other","3","8","10"
"Other","2","9","8"
"Music Lessons / Instrument","10","6","7"
"Team Sports(Soccer, Basketball, etc);Swimming;Other","10","8","10"
"Team Sports(Soccer, Basketball, etc)","4","7","6"
"Swimming;Tutoring","3","7","9"
"Tutoring","1","10","10"
"Team Sports(Soccer, Basketball, etc)","16","7","9"
"Tutoring;CAPA","6","7","9"
"Team Sports(Soccer, Basketball, etc);Swimming;Music Lessons / Instrument;Tutoring","4","5","9"
"Team Sports(Soccer, Basketball, etc);Swimming;Tutoring;Other","10","5","10"
"Martial Arts(Karate, Boxing, etc)","6","1","10"
"Team Sports(Soccer, Basketball, etc);School Clubs","8","6","8"
"Team Sports(Soccer, Basketball, etc);Martial Arts(Karate, Boxing, etc);Music Lessons / Instrument","6","5","8"
"Martial Arts(Karate, Boxing, etc)","3","7","9"
"Martial Arts(Karate, Boxing, etc);Cadets","12","6","10"
"Music Lessons / Instrument;Tutoring","2","6","8"
"Music Lessons / Instrument","1","9","10"
"Martial Arts(Karate, Boxing, etc);Other","4","8","9"
"Swimming;Other","4","4","8"
"Team Sports(Soccer, Basketball, etc);Scouts;Music Lessons / Instrument;Tutoring","4","8","10"
"Team Sports(Soccer, Basketball, etc);Martial Arts(Karate, Boxing, etc);Swimming;Music Lessons / Instrument;Other","6","6","7"
"Guides;Swimming;Tutoring",">20","10","1"
"Team Sports(Soccer, Basketball, etc);Other","3","7","8"
"Team Sports(Soccer, Basketball, etc);Music Lessons / Instrument;Tutoring","8","6","7"
"Swimming;Other","10","5","8"
"Martial Arts(Karate, Boxing, etc);Tutoring","4","10","10"
"Team Sports(Soccer, Basketball, etc);Tutoring;School Clubs","10","9","10"
"Team Sports(Soccer, Basketball, etc);Martial Arts(Karate, Boxing, etc);Music Lessons / Instrument","8","6","7"
"Other","10","3","6"
"Team Sports(Soccer, Basketball, etc);Martial Arts(Karate, Boxing, etc);Other","4","9","9"
"Music Lessons / Instrument;Tutoring","10","7","8"
"Team Sports(Soccer, Basketball, etc)","4","6","8"
"Tutoring;CAPA","4","5","10"
"Swimming;Music Lessons / Instrument;Tutoring","6","5","5"
"Team Sports(Soccer, Basketball, etc);Tutoring","4","7","10"
